index:ID,actor,:LABEL
30807,安娜-莱娜·布伦丁,演员
30808,吉尔·贝罗斯,演员
30809,乌尔里希·图库尔,演员
30810,黛安·克鲁格,演员
30811,菲尔·约翰斯顿,演员
30812,费振翔,演员
30813,娜塔丽·特纳,演员
30814,爱德华·伯恩斯,演员
30815,皮特·沃恩,演员
30816,纳谷悟朗,演员
30817,卡斯·安瓦尔,演员
30818,艾比·考尼什,演员
30819,热拉尔·德帕迪约,演员
30820,弗农·多布切夫,演员
30821,布尔维尔,演员
30822,Steve Carruthers,演员
30823,艾尔西·费舍尔,演员
30824,莱奥波多·特里耶斯泰,演员
30825,安娜·奥菲丽亚·莫吉亚,演员
30826,崔岷植,演员
30827,Gerald Oliver Smith,演员
30828,丽塔·莫雷诺,演员
30829,汉娜·弗林,演员
30830,萨哈巴努·佐哈多,演员
30831,布伦丹·凯利,演员
30832,多里·曼佐尔,演员
30833,劳伦斯·菲什伯恩,演员
30834,白冰,演员
30835,丽塔·科尔泰塞,演员
30836,劳埃德·英格拉哈姆,演员
30837,凯瑟·斯内德,演员
30838,杰克·巴农,演员
30839,马修·奥尼尔,演员
30840,本·卫肖,演员
30841,马特·达蒙,演员
30842,芦田爱菜,演员
30843,克里斯托弗·加廷,演员
30844,卡夏·斯穆特尼亚克,演员
30845,罗恩·沃斯,演员
30846,希瑟·乔伊·谢尔,演员
30847,姜秀琼,演员
30848,矢田稔,演员
30849,加里·西尼斯,演员
30850,八奈见乘儿,演员
30851,汉尼斯·赫尔曼,演员
30852,安德烈提多娜,演员
30853,王学圻,演员
30854,陈强,演员
30855,拜伦·霍华德,演员
30856,坦图·卡丁诺,演员
30857,拉里·霍尔登,演员
30858,今敏,演员
30859,瑞奇·摩尔,演员
30860,平坦,演员
30861,茅斯·达夫,演员
30862,加利·艾尔维斯,演员
30863,陈庆航,演员
30864,安格斯·桑普森,演员
30865,小威廉·威谢尔,演员
30866,Gilbert Emery,演员
30867,陈冲,演员
30868,马修·刘易斯,演员
30869,后藤弘树,演员
30870,蒂娜·斯隆,演员
30871,凯特·玛拉,演员
30872,凯莉·库恩,演员
30873,哈莎莉·马洛特拉,演员
